  Row   Col.  Seas.  Beg.    End.   Length   Base   Mid-x   Max.    Amp.    L-der.  R-der.  L-integ.  S-integ. 
   19     1     1     5.3    44.3    39.0  2438.6    25.1  9582.1  7143.5   909.8   550.1  246468.0  146484.3 
   19     1     2    53.5    90.9    37.5  2405.2    68.5  9383.4  6978.1  1104.7  1124.2  228793.7  134989.3 
   19     1     3   103.0   137.9    34.9  2202.8   118.9  9383.0  7180.2   782.1   513.4  227769.8  148469.4 
   20     1     1     5.4    44.1    38.7  2441.6    24.9  9681.2  7239.6  1123.2   615.1  243097.3  142992.1 
   20     1     2    60.0    91.0    31.0  2371.7    68.5  9484.3  7112.6  1205.4   252.2  202316.5  126423.0 
   20     1     3   101.8   137.6    35.8  2138.4   118.6  9361.6  7223.2   842.8   547.5  234838.7  153579.2 
   21     1     1     6.4    44.3    37.9  2472.9    24.9  9675.9  7203.1  1022.4   744.3  236705.7  137791.4 
   21     1     2    53.5    91.5    37.9  2299.5    68.7  9468.6  7169.2  1088.6   256.1  231413.6  139433.7 
   21     1     3   101.0   137.7    36.8  2004.9   119.7  9321.9  7317.0   673.8  -547.8  231310.0  153117.1 
   22     1     1     6.8    45.2    38.4  2451.7    24.8  9699.1  7247.3  1039.0   726.2  238731.6  138210.3 
   22     1     2    53.5    91.5    38.0  2226.8    68.7  9436.4  7209.6  1104.7   255.2  229960.3  140889.8 
   22     1     3   101.0   138.0    37.0  1966.4   118.6  9204.0  7237.6   999.2   610.9  236301.0  159610.9 
   23     1     1     6.8    45.0    38.2  2372.1    24.5  9412.5  7040.4  1208.6   623.6  234629.8  139745.8 
   23     1     2    53.7    91.0    37.3  2223.7    68.7  9456.0  7232.3  1171.7   264.3  235077.4  148354.4 
   23     1     3   102.1   137.7    35.7  2003.7   118.8  9477.1  7473.4  1026.3   656.6  236239.4  162102.8 
   24     1     1    11.0    45.8    34.8  2269.4    24.6  9270.3  7000.8  1531.8   484.5  217225.2  135526.0 
   24     1     2    54.0    90.9    36.9  2168.2    68.2  9398.3  7230.2   487.5   245.0  232035.4  147476.7 
