id,name
1,bean
2,corn
3,corn+pasture
4,cotton
5,cotton/bean
6,crotalaria
7,crotalaria+pearl_millet
8,fallow
9,forest
10,hay
11,millet+crotalaria+pasture
12,no_data
13,pasture
14,pearl_millet
15,rice
16,sorghum
17,soybean
18,sugarcane
19,sunflower
